1012	བྲོ	3		146294
1013	ཁྲ	2		146140
1014	དོགས	4		146080
1015	བཅིངས	5		145596
1016	བསྒྲིགས	7		145508
1017	དོད	3		145350
1018	བགྱི	4		145162
1019	གམ	2		145128
1020	དྲོ	3		144312
1021	སྤུ	3		144056
1022	ཏིག	3		143852
1023	འཁྲུངས	6		143694
1024	རགས	3		143580
1025	བུས	3		143428
1026	འཕྲད	4		143412
1027	འབོད	4		142852
1028	བསམས	4		142682
1029	འབྲུག	5		142628
1030	གུར	3		142470
1031	ཐོད	3		142162
1032	གཡང	3		141836
1033	འདོགས	5		141426
1034	ཚོན	3		140964
1035	ཕག	2		140278
1036	ཚུར	3		140032
1037	སྐུར	4		139574
1038	དགུང	4		139540
1039	སྤྲད	4		138866
1040	འཚོགས	5		138382
1041	མུན	3		138340
1042	ནེ	2		137120
1043	དཔྱིད	5		136594
1044	འཇོམས	5		136490
1045	རག	2		136286
1046	ཧོ	2		136256
1047	ཕྲུག	4		135858
1048	ཟོག	3		135300
1049	འཁེལ	4		134974
1050	ཞན	2		134644
1051	དགུན	4		134094
1052	འབའ	3		134034
1053	བསྲུང	5		133554
1054	བསྒོམས	6		133434
1055	ལྕེ	3		132958
1056	བསྡད	4		132368
1057	གདུལ	4		132332
1058	སྟེར	4		132018
1059	གཞལ	3		131922
1060	འཕྲོ	4		131878
1061	ཉིས	3		131006
1062	གཟི	3		129984
1063	གདོན	4		129714
1064	མགྲིན	5		129686
1065	ཁོག	3		129522
1066	མལ	2		128770
1067	ཨུད	3		128570
1068	ཕམ	2		128366
